listing_id,WIC,SNAP,longitude,latitude,location_address,listing_name,fm_bool,csa_bool,om_bool,Farmer Market Type,Benefit Type,Block_FIPS,bbox,county_name,County_FIPS,State_FIPS,State_name,geometry
300002,0.0,1.0,-104.81468,38.937716,"7350 Pine Creek Road, Colorado Springs, Colorado 80919",Colorado Farm and Art Market,1.0,0.0,0.0,Farmers' Market,SNAP,80410037054015.0,"[-104.818646, 38.932971, -104.813136, 38.938515]",El Paso County,8041.0,CO,Colorado,POINT (-104.81468 38.937716)
300003,0.0,0.0,-88.045015,30.69035,"300 Conti, Mobile, Alabama 36602",Market in The Park,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,10970002001018.0,"[-88.045601, 30.689942, -88.044488, 30.690884]",Mobile County,1097.0,AL,Alabama,POINT (-88.045015 30.69035)
300004,0.0,0.0,-90.31353,42.404443,"2000 Territory Drive, Galena, Illinois 61036",The Territory Farmers' Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,170850204011042.0,"[-90.316519, 42.400989, -90.306193, 42.406228]",Jo Daviess County,17085.0,IL,Illinois,POINT (-90.31353 42.404443)
300005,0.0,0.0,-93.473419,44.997274,"15500 County Road 6, Plymouth, Minnesota 55447",City of Plymouth Farmers Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,270530266113004.0,"[-93.481636, 44.995067, -93.472153, 45.000191]",Hennepin County,27053.0,MN,Minnesota,POINT (-93.473419 44.997274)
300006,1.0,1.0,-78.901856,36.000559,"501 Foster Street, Durham, North Carolina 27701",Durham Farmers' Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,370630022002064.0,"[-78.902268, 36.000177, -78.901401, 36.001986]",Durham County,37063.0,NC,North Carolina,POINT (-78.901856 36.000559)
300008,1.0,1.0,-77.452948,43.212229,"1028 Ridge Road, Webster Towne Center, Webster, New York 14580","Webster's Joe Obbie Farmers' Market, Inc.",1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,360550112102001.0,"[-77.461304, 43.209238, -77.449427, 43.215407]",Monroe County,36055.0,NY,New York,POINT (-77.452948 43.212229)
300009,1.0,1.0,-88.40703,44.26201,"100 College Avenue, Appleton, Wisconsin 54911",Appleton Downtown Farm Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,550870101001015.0,"[-88.407266, 44.261816, -88.404326, 44.262945]",Outagamie County,55087.0,WI,Wisconsin,POINT (-88.40703 44.26201)
300010,0.0,1.0,-97.311627,30.111777,"1302 Chestnut Street, Bastrop, Texas 78602",Bastrop 1832 Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,480219504014050.0,"[-97.312578, 30.110625, -97.307615, 30.112895]",Bastrop County,48021.0,TX,Texas,POINT (-97.311627 30.111777)
300011,0.0,1.0,-84.259924,39.266388,"205 Broadway Street, Loveland, Ohio 45140",Loveland Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP,390250403011004.0,"[-84.267701, 39.258579, -84.257453, 39.266644]",Clermont County,39025.0,OH,Ohio,POINT (-84.259924 39.266388)
300013,1.0,1.0,-75.916118,44.331171,"Route 12, Alexandria Bay, New York 13607",Alexandria Bay Farmers Market,1.0,0.0,0.0,Farmers' Market,SNAP ; WIC,360450601022017.0,"[-75.916856, 44.33045, -75.914373, 44.33251]",Jefferson County,36045.0,NY,New York,POINT (-75.916118 44.331171)
300016,0.0,0.0,-78.58945,42.98032,"New Town lot, 10717 Main St. (route 5), Clarence, New York 14031",Clarence Hollow Farmers' Market,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,360290147042002.0,"[-78.590687, 42.978442, -78.587385, 42.980941]",Erie County,36029.0,NY,New York,POINT (-78.58945 42.98032)
300018,0.0,0.0,-88.160082,30.691614,"200 Parkway Street West, Mobile, Alabama 36606",Market in The Park - Lavretta Park,1.0,0.0,0.0,Farmers' Market,No SNAP Benefit ; No WIC Benefit,10970035012031.0,"[-88.160638, 30.691506, -88.159643, 30.694937]",Mobile County,1097.0,AL,Alabama,POINT (-88.160082 30.691614)
